Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/comentando,65559,0,2000.0257000065176,2003.7769318476292,2000.0257000065176,2273.774699991918,10.0,161.00395124822901,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2100,2300,2300
GET,/verVideo,65230,0,2,3.092787893619491,0.8029000018723309,247.18299999949522,8.0,160.19597217654294,0.0,2,2,3,3,4,7,16,25,150,240,250
,Aggregated,130789,0,2000.0,1005.9512224216139,0.8029000018723309,2273.774699991918,9.002515502068217,321.19992342477195,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2100,2200,2300
